book_title,challenge_reasons,num_reasons,primary_reason
Meg & Linus,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Half of a Yellow Sun,Race & systemic inequality; Violence & mature themes,2,Race & systemic inequality
I See the Sun in Afghanistan,,0,Uncategorized
The Garden of My Imaan,Age-appropriateness concerns; Religion & worldview,2,Age-appropriateness concerns
Most Valuable Players (Rip and Red Series),Age-appropriateness concerns,1,Age-appropriateness concerns
"Brother Eagle, Sister Sky",,0,Uncategorized
"Celia Cruz, Queen of Salsa",Age-appropriateness concerns,1,Age-appropriateness concerns
"It Ain't So Awful, Falafel",Age-appropriateness concerns,1,Age-appropriateness concerns
Proud: Living My American Dream (Young Readers Edition),Age-appropriateness concerns,1,Age-appropriateness concerns
Hiawatha and the Peacemaker,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
A Day's Work,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Hooked,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Roe v. Wade: A Woman's Choice?,Age-appropriateness concerns,1,Age-appropriateness concerns
Sadako,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Meet Cute: Some People Are Destined to Meet,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
The Mud Pony,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Until the End (Sea Breeze Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Knots on a Counting Rope,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Lailah's Lunchbox: A Ramadan Story,Age-appropriateness concerns; Race & systemic inequality; Religion & worldview,3,Age-appropriateness concerns
Dash (Dogs of World War II Series),Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Legend of the Bluebonnet (Legends Series),Age-appropriateness concerns,1,Age-appropriateness concerns
The Stonewall Riots: Coming Out in the Street,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Race & systemic inequality,3,Age-appropriateness concerns
Black Frontiers: A History of African American Heroes in the Old West,Race & systemic inequality,1,Race & systemic inequality
Virgie Goes to School with Us Boys,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
A Sweet Smell of Roses,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Naomi and Ely's No Kiss List,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
