book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
Yasmin the Scientist (Yasmin Series),2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:09:54,True,Pennsylvania,
Hair Love,2021-08-01,71.97,46.86,100.0,100.0,56.0,35.0,-34.89,-25.11,14.95,2026-02-05 22:10:10,True,Pennsylvania,
Planet Omar: Epic Hero Flop (Planet Omar Series),2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:10:15,True,Pennsylvania,
WeirDo Series: Even Weirder!,2021-08-01,0.0,2.01,0.0,100.0,0.0,0.0,inf,2.01,13.42,2026-02-05 22:10:20,True,Pennsylvania,
Condoleezza Rice: Being the Best (Gateway Biographies),2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:10:25,True,Pennsylvania,
Singing Superstar (Sofía Martínez Series),2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:10:35,True,Pennsylvania,
Smoky Night,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:10:40,True,Pennsylvania,
Fishing Day,2021-08-01,26.63,30.71,100.0,100.0,13.0,11.0,15.31,4.08,13.66,2026-02-05 22:10:45,True,Pennsylvania,
Who Was Frida Kahlo? (Who was...? Series),2021-08-01,0.0,2.0,0.0,100.0,0.0,0.0,inf,2.0,13.35,2026-02-05 22:10:49,True,Pennsylvania,
Julián Is a Mermaid (Julián Series),2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:10:59,True,Pennsylvania,
"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",2021-08-01,0.0,2.61,0.0,100.0,0.0,0.0,inf,2.61,14.34,2026-02-05 22:11:15,True,Pennsylvania,
I Am Rosa Parks,2021-08-01,0.0,2.91,0.0,100.0,0.0,0.0,inf,2.91,15.94,2026-02-05 22:11:38,True,Pennsylvania,
